Ticker,Undervalue Score
RECT,-114.45382214274251
RCMT,-125.0222526423254
UTI,-152.04196558501408
SMID,-188.93736046007868
RYAAY,-195.11129869459964
STZ,-204.43806088964104
VICR,-212.72945783870765
ULTA,-224.0069172992257
SKK,-233.0218095405423
SFM,-302.2989346180088
TMDX,-340.466697813597
SGHC,-409.86253729327836
VST,-561.6634064112046
VRT,-864.3809711474202
UI,-3723.00537513926
VTMX,
SMLR,487.1648340986372
TV,55.47512482449729
TLK,53.43796377641347
TPH,52.08052967277064
RLX,50.97612689920832
TLF,47.59514723072817
WMK,47.431387773580184
TKC,47.150884369126906
SDOT,45.96785043765676
ZEUS,45.62807000545891
TEN,44.88028453365932
SYT,44.116583960340186
STLA,42.289763246586276
RDY,42.25907895587939
UNF,42.07470924623583
SFWL,40.35849114246005
VYGR,39.37361673022309
VTLE,35.657266435493305
STM,34.08383610011872
UVV,33.217647960221285
STCN,31.94000523655086
STRT,31.410210850591863
TEO,30.67502969656625
YY,30.50345584516871
STLD,27.12011650997239
ROG,23.810531278434954
STRA,22.94238848024856
TWIN,20.825591019197986
SNEX,19.845903245181514
VINP,19.44721184262816
RGS,18.67591312950971
TCOM,17.935396186083903
SWKS,17.895368707914482
SIG,17.073131454258395
SENEA,16.635486632903856
TRT,16.631090788103986
WCC,14.368186180536924
VTOL,14.191689741051078
REPX,13.931807860783529
TAK,13.610047681464588
SPB,12.120898751369817
VAL,10.910541896332754
THO,10.748942138543264
SGC,10.502691898607022
SCSC,10.242212491271443
VC,8.370099259101982
SCHL,6.383896833501929
USAP,6.133949665827229
RPRX,4.365635529274775
YPF,3.4556914784494546
TH,2.1545831402146662
SII,1.4150661055852165
TXT,0.905398616016656
TSM,-0.17470328084386866
XPEL,-0.9431708714026543
TRDA,-3.1474366494399235
TKR,-7.112957382619189
SGD,-8.925851515325222
RUSHA,-9.55395005480505
SON,-10.452339472608916
WNS,-11.13296634811224
ZJYL,-11.788874917582282
ZD,-12.216312199281525
VZ,-12.959438958362867
SYNA,-13.05076016745349
UGI,-13.092682878502632
THRM,-13.994936331662174
SHOO,-14.637181256838893
SKX,-16.614626471979545
TRP,-16.932589016457477
WHG,-17.35236544405439
WLDN,-17.759542207256334
SANM,-20.29656380829356
SJW,-21.613377068453836
RETO,-25.16777371427249
URBN,-25.69138130557552
RCI,-28.539440494429808
SXI,-30.63457084043275
TDW,-32.40251842940173
VRNT,-33.59000023455781
USIO,-36.29679192087668
REYN,-40.632910472066406
TOP,-41.0790084332191
RVTY,-42.19011468438163
XYL,-42.42491828263807
RGCO,-43.76667616395976
TW,-43.874554051404104
YORW,-45.25686247893294
TREX,-45.723232615488385
ROP,-46.11318864761044
SXT,-46.71696343801015
SKY,-50.101649559424274
TASK,-53.17743145436796
TXNM,-53.89572344425822
ZVSA,-53.9192337541626
SOWG,-55.804921991330744
TX,-60.50977580697927
RMD,-61.82481781629426
VCTR,-62.62629494608725
YIBO,-67.55034286632414
TRN,-72.25902595544545
VITL,-74.86606630500478
USFD,-75.10633238247519
RBC,-78.66684362233943
USPH,-79.6388130168896
SITE,-86.34653360228705
XHR,-87.06541366357897
TMO,-87.86454621583805
SNN,-90.23277396561214
VALU,-91.85897363831609
WST,-95.30399961060661
TKLF,-95.86347242074774
TFII,-98.43017307687568
WEX,-98.7533451177448
TIVC,-107.52643821041889
SPGI,-112.56248073251255
RVLV,-125.38285930647875
RL,-127.13327973487121
UNH,-127.70048180853324
UPWK,-129.2598166464145
WMS,-133.70515061421074
TTEK,-136.83085500258662
WU,-138.7301348092298
VNT,-143.94214893275134
WMB,-150.01658142022976
RNW,-153.04998171057088
TPB,-154.7082476022113
TRI,-157.13286576454414
STRS,-161.726689273989
STRL,-185.8703048874469
SEE,-188.45244734147386
TSHA,-198.665316236263
TXN,-202.86000650383622
ZYXI,-207.07642941164767
SRL,-226.99031257024407
UBER,-229.81878836683802
UNP,-242.70153358317313
WSC,-243.67429409253688
ROAD,-252.8710676979977
WMT,-257.8055839733328
SHC,-287.8574249802574
WM,-288.61491195442
ROST,-295.78100787061857
VSCO,-297.6812657235295
RNAZ,-306.6353408378695
RCL,-310.6587178567253
WSM,-325.36496804260065
ULS,-340.10146572799397
TT,-358.6857126447048
STEP,-456.06136351974857
RRR,-543.0637706578773
SHW,-676.3182415153528
SHAK,-712.0175781953834
SE,-841.5865145801752
VRSK,-4546.795453874766
RDCM,
VLTO,-390.3722729769368
ZTS,-460.05025993988744
WH,-469.32692382681125
TRGP,-506.5432664661775
RTO,-511.1889833123893
WMG,-1176.4444617218808
TNET,-1229.9999653958191
VVV,-1577.8197486099905
