('FELE', 0.010299999)
('LPX', 0.010299999)
('MKTX', 0.010299999)
('PH', 0.010299999)
('BBUC', 0.0104)
('GAM', 0.0104)
('VSTS', 0.0104)
('CARR', 0.0105)
('CRAI', 0.0105)
('MGPI', 0.0105)
('ROST', 0.0105)
('WYNN', 0.0105)
('AER', 0.0106)
('ATR', 0.0106)
('IHT', 0.0106)
('CCK', 0.0107)
('LNG', 0.0107)
('RRC', 0.0107)
('UFPI', 0.0107)
('TCBS', 0.0108)
('DOV', 0.0109)
('FNV', 0.0109)
('HLNE', 0.0109)
('IDCC', 0.0109)
('PRG', 0.0109)
('PRGS', 0.0109)
('TPX', 0.0109)
('AGX', 0.011)
('HDB', 0.011)
('JOE', 0.011)
('NX', 0.011)
('RGLD', 0.011)
('RGR', 0.011)
('BBU', 0.0111)
('CFBK', 0.0111)
('EFXT', 0.0111)
('FRD', 0.0111)
('MSCI', 0.0111)
('NIC', 0.0111)
('CTVA', 0.0112)
('ETN', 0.0112)
('LFUS', 0.0112)
('BAH', 0.0113)
('BTU', 0.0113)
('IRMD', 0.0113)
('UBS', 0.0113)
('CHD', 0.0114)
('CNMD', 0.0114)
('DHC', 0.0115)
('FBIN', 0.0115)
('MLR', 0.0115)
('SSBK', 0.0115)
('HUBG', 0.0116)
('ICE', 0.0116)
('PCAR', 0.0116)
('AGCO', 0.0117)
('AMP', 0.0117)
('CCS', 0.0117)
('EXPO', 0.0117)
('ILPT', 0.0117)
('JILL', 0.0117)
('JMSB', 0.0117)
('LMNR', 0.0117)
('RSG', 0.0117)
('WT', 0.0117)
('CBOE', 0.0117999995)
('ESI', 0.0117999995)
('LEN', 0.0117999995)
('WTW', 0.0117999995)
('CXT', 0.0119)
('EVR', 0.0119)
('NVEI', 0.0119)
('TIPT', 0.0119)
('TNET', 0.0119)
('JKHY', 0.012)
('KGC', 0.012)
('KWR', 0.012)
('LNN', 0.012)
('AMKR', 0.0121)
('DNUT', 0.0121)
('FLXS', 0.0121)
('KNX', 0.0121)
('LYTS', 0.0121)
('PFSI', 0.0121)
('SEIC', 0.0121)
('TR', 0.0121)
('WSFS', 0.0121)
('XYL', 0.0121)
('CSV', 0.012200001)
('FUL', 0.012200001)
('LIN', 0.012200001)
('MWA', 0.012200001)
('AAME', 0.0123000005)
('DOOO', 0.0123000005)
('ERIE', 0.0123000005)
('EXPD', 0.0123000005)
('LFVN', 0.0123000005)
('LRCX', 0.0123000005)
('TME', 0.0123000005)
('EBR', 0.0124)
('GGG', 0.0124)
('GSM', 0.0124)
('HUBB', 0.0124)
('OPY', 0.0124)
('CON', 0.0125)
('MSA', 0.0125)
('NDSN', 0.0125)
('RJF', 0.0125)
('RUSHA', 0.0125)
('AVGO', 0.0126)
('SIG', 0.0126)
('HRI', 0.0127)
('LH', 0.0127)
('POWI', 0.0127)
('SVC', 0.0127)
('TXRH', 0.0127)
('HPK', 0.0128)
('IEX', 0.0128)
('KBH', 0.0128)
('TSM', 0.0128)
('FOXA', 0.0128999995)
('GCBC', 0.0128999995)
('NDAQ', 0.0128999995)
('NVO', 0.0128999995)
('PX', 0.0128999995)
('TFPM', 0.0128999995)
('WFRD', 0.0128999995)
('NSSC', 0.012999999)
('NVGS', 0.012999999)
('TDF', 0.012999999)
('APO', 0.013099999)
('CB', 0.013099999)
('PRI', 0.013099999)
('TRI', 0.013099999)
('APOG', 0.013200001)
('BWA', 0.013200001)
('CMC', 0.013200001)
('FCX', 0.013200001)
('POOL', 0.013200001)
('TEX', 0.013200001)
('CDW', 0.013300001)
('ESRT', 0.013300001)
('HLI', 0.013300001)
('MMI', 0.013300001)
('OC', 0.013300001)
('TJX', 0.013300001)
('USCB', 0.013300001)
('WDFC', 0.013300001)
('BRC', 0.0134000005)
('PWP', 0.0134000005)
('SNDR', 0.0134000005)
('BY', 0.0135)
('STM', 0.0135)
('UNTY', 0.0135)
('BALL', 0.0136)
('CHX', 0.0136)
('DELL', 0.0136)
('HUM', 0.0136)
('MCS', 0.0136)
('PRMW', 0.0136)
('PSMT', 0.0136)
('RBA', 0.0136)
('TFII', 0.0136)
('UTZ', 0.0136)
('YOU', 0.0136)
('ALLE', 0.0137)
('B', 0.0137)
('TWIN', 0.0137)
('MMS', 0.0138)
('NPK', 0.0138)
('STLD', 0.0138)
('FBK', 0.0139)
('FOX', 0.0139)
('GOLF', 0.0139)
('SEM', 0.0139)
('SNX', 0.0139)
('ST', 0.0139)
('WFG', 0.0139)
('DRH', 0.0139999995)
('IHG', 0.0139999995)
('IOSP', 0.0139999995)
('MNSO', 0.0139999995)
('ROL', 0.0139999995)
('WM', 0.0139999995)
('GPK', 0.014099999)
('SCHW', 0.014099999)
('DPZ', 0.014199999)
('EQBK', 0.014199999)
('SFBS', 0.014199999)
('SSNC', 0.014199999)
('TNC', 0.014199999)
('YUMC', 0.014199999)
('EML', 0.0143)
('FCFS', 0.0143)
('HCI', 0.0143)
('SFBC', 0.0143)
('CSX', 0.014400001)
('RUSHB', 0.014400001)
('SLGN', 0.014400001)
('FIP', 0.0145000005)
('HAYN', 0.0145000005)
('HES', 0.0145000005)
('MAS', 0.0145000005)
('AMAL', 0.0146)
('COF', 0.0146)
('CRH', 0.0146)
('DCI', 0.0146)
('HTBI', 0.0146)
('NGVC', 0.0146)
('OSBC', 0.0146)
('VRE', 0.0146)
('BUD', 0.0147)
('DE', 0.0147)
('EEX', 0.0147)
('SCI', 0.0147)
('ATKR', 0.0148)
('BHE', 0.0148)
('UMBF', 0.0148)
('UNH', 0.0148)
('CAT', 0.0149)
('COLM', 0.0149)
('FORTY', 0.0149)
('KELYA', 0.0149)
('LECO', 0.0149)
('MMC', 0.0149)
('WERN', 0.0149)
('AGO', 0.015)
('AIN', 0.015)
('AIZ', 0.015)
('CPHC', 0.015)
('EXPI', 0.015)
('NUE', 0.015)
('ACU', 0.0150999995)
('GRMN', 0.0150999995)
('KELYB', 0.0150999995)
('MRTN', 0.0150999995)
('RNGR', 0.0152)
