Ticker,Sharpe Ratio
CX,1.5121349504327055
DELL,1.5085594883045061
WSO,1.5054905652948032
OC,1.5051416693796762
AIR,1.5030550424879061
ACHR,1.501528919234819
RCMT,1.5002251567152598
DGHI,1.4980461462073693
SKYH,1.4973198110393378
TLGY,1.495142353530321
GSHD,1.4944081833162974
CAH,1.4932279882631772
REKR,1.4913490277403094
DASH,1.4908081865902447
IREN,1.4892697636676329
MSFT,1.4888279888926106
RYAAY,1.4870826594800717
KINS,1.4839481773790872
MMYT,1.4824175248156954
TDW,1.4773030019759423
BZH,1.4766740631214195
NAMSW,1.4731065087956392
JBL,1.4721305035123753
PH,1.4714432958753547
TMHC,1.4698684002646059
CSWI,1.4689218808067477
VRA,1.468340522133741
TW,1.467787622113274
RDNT,1.4676834427420749
RRAC,1.4656190909171654
