['AIO', 8.0, 22.18000030517578]
['AIOT', 39.0, 4.769999980926514]
['AIP', 27.0, 6.880000114440918]
['AIR', 3.0, 58.400001525878906]
['AIRG', 20.0, 9.239999771118164]
['AIRI', 32.0, 5.809999942779541]
['AIRS', 31.0, 5.860000133514404]
['AIRT', 11.0, 16.700000762939453]
['AIRTP', 10.0, 17.459999084472656]
['AISP', 96.0, 1.940000057220459]
['AIT', 0.0, 231.5]
['AIV', 22.0, 8.329999923706055]
['AIZ', 0.0, 191.75999450683594]
['AIZN', 8.0, 22.190000534057617]
['AJG', 0.0, 280.3999938964844]
['AJX', 59.0, 3.140000104904175]
['AKA', 8.0, 23.299999237060547]
['AKAM', 1.0, 100.56999969482422]
['AKBA', 110.0, 1.690000057220459]
['AKR', 7.0, 24.200000762939453]
['AKRO', 5.0, 32.33000183105469]
['AKTS', 3670.0, 0.050999999046325684]
['AKTX', 67.0, 2.7799999713897705]
['AKYA', 68.0, 2.7300000190734863]
['AL', 4.0, 44.7599983215332]
['ALAR', 15.0, 12.34000015258789]
['ALB', 1.0, 98.23999786376953]
['ALBT', 63.0, 2.940000057220459]
['ALC', 2.0, 91.79000091552734]
['ALCO', 7.0, 24.389999389648438]
['ALDX', 34.0, 5.360000133514404]
['ALE', 2.0, 64.05000305175781]
['ALEC', 37.0, 5.019999980926514]
['ALEX', 9.0, 18.75]
['ALG', 0.0, 187.47999572753906]
['ALGM', 8.0, 21.100000381469727]
['ALGN', 0.0, 208.5800018310547]
['ALGS', 19.0, 9.550000190734863]
['ALGT', 2.0, 63.0099983215332]
['ALHC', 14.0, 12.949999809265137]
['ALIT', 27.0, 6.800000190734863]
['ALK', 3.0, 49.22999954223633]
['ALKS', 7.0, 26.469999313354492]
['ALKT', 4.0, 37.599998474121094]
['ALL', 1.0, 184.14999389648438]
['ALLE', 1.0, 139.8300018310547]
['ALLK', 147.0, 1.2699999809265137]
['ALLO', 68.0, 2.7200000286102295]
['ALLT', 55.0, 3.390000104904175]
['ALLY', 5.0, 34.56999969482422]
['ALNT', 10.0, 17.719999313354492]
['ALNY', 0.0, 273.9100036621094]
['ALOT', 15.0, 12.279999732971191]
['ALRM', 3.0, 53.41999816894531]
['ALRN', 46.0, 4.0]
['ALRS', 9.0, 20.1200008392334]
['ALSN', 1.0, 107.2699966430664]
['ALT', 27.0, 6.739999771118164]
['ALTG', 28.0, 6.599999904632568]
['ALTI', 44.0, 4.210000038146973]
['ALTM', 34.0, 5.440000057220459]
['ALTO', 98.0, 1.899999976158142]
['ALTR', 1.0, 104.0]
['ALTS', 78.0, 2.390000104904175]
['ALUR', 264.0, 0.7089999914169312]
['ALV', 1.0, 95.16999816894531]
['ALVR', 196.0, 0.953000009059906]
['ALX', 0.0, 226.24000549316406]
['ALXO', 129.0, 1.4500000476837158]
